polarity,content,content_clean
0,@cbaballe2 me acabas d romper el cora pero igual es el mejor del mundo jeje,me acabas d romper el cora pero igual es el mejor del mundo jeje
-1,"Hasta me das risa @realDonaldTrump, por que el único afectado seras tu y tu país y ante tus propios ojos veras su destrucción total.",hasta me das risa por que el nico afectado seras tu y tu pas y ante tus propios ojos veras su destruccin total
1,Mañana Juegan Y Ganan Mis @PumasMX Venga Universidad Por los 3 primeros puntos,maana juegan y ganan mis venga universidad por los 3 primeros puntos
0,"Siempre he pensado que las cosas pasan por algo y bueno, pasó. Volvió. Hagamos ese regreso magnífico",siempre he pensado que las cosas pasan por algo y bueno pas volvi hagamos ese regreso magnfico
0,@FolagoR no la estoy pasando bien... Tus vídeos me harán sentir mejor.... Trata de hacer más fail please,no la estoy pasando bien tus vdeos me harn sentir mejor trata de hacer ms fail please
1,Como me encantaria ir a abrazarla a mi amigaa ahora mismo y decirle que todo va a estar bien,como me encantaria ir a abrazarla a mi amigaa ahora mismo y decirle que todo va a estar bien
0,"@hectorandres8 si, parezco niño que cuando sale a la calle todo quiere, y pues me la paso comiendo (flaco no, en vivo se nota mi panza)",si parezco nio que cuando sale a la calle todo quiere y pues me la paso comiendo flaco no en vivo se nota mi panza
1,@CaELiKe Que tengas un fantástico día Caeli,que tengas un fantstico da caeli
-1,"se acaba el 2016 y con él, el internet gratis de movistar 4G",se acaba el 2016 y con l el internet gratis de movistar 4g
-1,Tengo un buen de ganas de ir al cine pero soy tan flojo,tengo un buen de ganas de ir al cine pero soy tan flojo
-1,@eliana_gab Lunes: Muerta estudiando Fisiología Animal (como ahorita) Puedo sábado o domingo ¿Pa' qué le soy buena?,lunes muerta estudiando fisiologa animal como ahorita puedo sbado o domingo pa qu le soy buena
1,Direectv y otros momentos lindos,direectv y otros momentos lindos
1,@venezuelanita Así es un saludo desde Perú! La vida es mejor con un buen vino o un buen café!,as es un saludo desde per la vida es mejor con un buen vino o un buen caf
0,Pasé todo el día buscando mi Baby Lips y lo acabo de encontrar. Estaba en la mesita de noche de fijo lo puse ahí dormida,pas todo el da buscando mi baby lips y lo acabo de encontrar estaba en la mesita de noche de fijo lo puse ah dormida
0,@TatoGI cada cantante y canción nueva caray,cada cantante y cancin nueva caray
0,Te desearía lo mejor pero ya lo tuviste,te deseara lo mejor pero ya lo tuviste
-1,Me siento débil No rindo como hace DOS PUTAS SEMANAS. No puede ser la concha de mi madre. No puede ser.,me siento dbil no rindo como hace dos putas semanas no puede ser la concha de mi madre no puede ser
